signatur,urheber,urheber_idn,titel,zusatztitel,technik,ort,verlag,jahr,blattmass,bildmass,reihe,preis,schlagwort,bemerkung,bemerkung2
Kbl 1980 A 102,,,Rudelsburg und Saaleck,,Einfarb. Offsetdruck nach einem Stich gestaltet und handkoloriert,Leipzig,Verlag für die Frau,1980,200 x 290,145 x 210,,19.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
,"Gruner, Erich",119252686,Saaleck und Rudelsburg,,Orig.-Radierung,"[Leipzig N 22, Hoeppner-Str. 20]",Gruner,1954,105 x 167,28 x 57,,10.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1949 B 55,"Hoffmann, E[rwin] P.",,Rudelsburg und Saaleck,,Orig.-Radierung,Berlin,Lindner,1948,330 x 428,212 x 297,,10.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1958 A 218,"Gruner, Erich",119252686,Saaleck und Rudelsburg,,Orig.-Radierung,"[Leipzig N 22, Hoeppner-Str. 20]",Gruner,1954,105 x 167,28 x 57,,10.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1949 B 55,"Hoffmann, E[rwin] P.",,Rudelsburg mit Saaleck,,Orig.-Radierung,Berlin,Lindner,1948,330 x 428,212 x 297,,10.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1949 C 17,"Hoffmann, E[rwin] P.",,Sans Souci,,Orig.-Radierung,Berlin,Lindner,1948,702 x 498,460 x 335,,25.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1972 A 18,"Loeillot, [W.]",128830689,Sanssouci bei Potsdam,Nachdruck nach dem Original aus der Grafiksammlung der Grafiksammlung des Bezirksheimatmuseums Potsdam,Einfarb. Lichtdruck,Leipzig,Seemann,1971,160 x 210,95 x 150,,Preis nicht mitgeteilt,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1956 A 1,"[Nagel, Johann Friedrich]",,Vue de Sans-Souci avec ses environs [Ansicht von Sanssouci und Umgebung],,Handkupferdruck,[Berlin-Friedrichshagen],[Wende],1955,300 x 400,150 x 210,,"13,50 DM; handkol. 18.- DM","Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1980 A 17,,,Sanssouci bei Potsdam 1832,,Offsetdruck nach einem Stich von E. Grünwald gestaltet und handkoloriert,Leipzig,Verlag für die Frau,1979,200 x 290,130 x 190,,17.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1948 B 374,"Reinhold, Bruno",,Sanssouci,,Orig.-Radierung,Berlin,Lindner,1947,503 x 350,294 x 251,,20.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1944 B 40,"Noether, Adolf",,(Schloß Scharfenberg an der Elbe),,Farb. Offsetdruck,Dresden,v. Baensch,1944,530 x 400,410 x 265,,10.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1969 C 15,Amenophis III.,,Relief aus Schech Abd el Gurna,um 1380 v.u.Z.,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1968,750 x 500,630 x 400,"Dresdner Meisterdrucke, M 1226",22.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1944 A 112,"Dürer, Albrecht",11852786X,Schloßhof II,,Autotypie,"[Berlin, jetzt: Landsberg/Warthe]",Völk. Kunstverlag,1944,300 x 420,250 x 340,,"3,50 RM","Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1960 C 159,"Richter, Adrian Ludwig",,Der Schreckenstein bei Aussig,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1960,465 x 570,385 x 505,,10.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1952 C 3,"Richter, Adrian Ludwig",,Überfahrt über die Elbe am Schreckenstein,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1951,830 x 435,670 x 900,"Dresdner Meisterdrucke, M 1019",25.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1956 C 192,"Richter, Adrian Ludwig",,Überfahrt über die Elbe am Schreckenstein,,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],1956,520 x 640,400 x 540,"Dresdner Meisterdrucke, M 1131",23.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1943 A 46,"Herzing, M[inni]",,Schloß Schwetzingen,,Orig.-Radierung,[Berlin],[Daco-Verlag],1943,250 x 335,145 x 195,,15.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1975 A 75,"Bellotto, Bernardo gen. Canaletto",118637819,Auf der Feste Sonnenstein,,Mehrfarb. Autotypie,Leipzig,Seemann,1975,215 x 300,150 x 240,,"1,50 DM (DDR)","Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1944 A 186,"Neudert, Otto",131840207,Stockzahn [Ostmark],,Orig.-Radierung,[St. Pölten],[St. Pöltener Zeitungsverl.Ges.],1944,420 x 305,250 x 190,,30.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1979 A 61,,,Schloß Trottingholm in Schweden um 1750,,Mehrfarb. Offsetdruck nach einem Stich von I. B. Winkler gestaltet und handkoloriert,Leipzig,Verlag für die Frau,1979,200 x 290,130 x 190,,17.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1957 B 29,"Brauer, Johannes",1057113778,"Leipzig, Völkerschlachtdenkmal",,Orig.-Radierung,Leipzig,Scholle-Verlag,1956,420 x 300,183 x 128,,24.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1948 A 60,,,Die Walhalla,,Handkoloriert Kupfertiefdruck,Wetzlar,Photographia,1947,250 x 210,152 x 112,,in Passepartout 5.95 RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1984 C 83,,,"Wartburg, Eisenach/Thüringen",Foto: Wolfgang Krammisch,Mehrfarb. Offsetdruck,Berlin,Berliner Verlag,1983,580 x 810,,,5.- DM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1948 B 209,"Mann, R[udolf]",,"Wartburg, Lutherstube",,Orig.-Holzschnitt,[Altenburg/Th.],[Graphik-Verlag],1947,210 x 292,130 x 100,,10.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1952 A 174,"Preuße, Richard ",1050553225,"Hohe Sonne, Wartburg",,Orig.-Radierung,"[Leipzig N 22, Coppy-Str. 81]",R. Preuße,1943,350 x 250,195 x 155,,6.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",Ausgabe 1945,
Kbl 1948 B 393,"Zwicker, Karl",1076138233,[Wartburg],,Orig.-Radierung,Berlin,Lindner,1946,442 x 328,324 x 227,,10.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1975 A 89,"[Tacke, Eberhard]",142824623,"Wartburg, Innenhof",,Orig.-Radierung,Berlin,Tacke,1975,205 x 150,120 x 80,,5.- DM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1976 A 24,"Tacke, Eb[erhard]",142824623,Die Wartburg,,Orig.-Radierung,[Berlin],[Tacke],1975,205 x 145,115 x 75,,5.- DM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1948 A 38,"[Bichebois, Louis Pierre Alphonse - Jules Louis Frédéric Villeneuve]",,Wasigenstein,,Reproduktion nach einem Stahlstich,[Hadamar],Bensemann,1947,210 x 148,120 x 100,,1.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1948 A 44,"[Joly, Alois Victor - Victor Vincent Adam]",,Wasserburg,,Reproduktion nach einem Stahlstich,[Hadamar],Bensemann,1947,210 x 150,120 x 98,,1.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1948 A 39,"[Bichebois, Louis Pierre Alphonse - Jules Louis Frédéric Villeneuve]",,Weineck,,Reproduktion nach einem Stahlstich,[Hadamar],Bensemann,1947,210 x 150,120 x 98,,1.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1948 B 66,"Vollandt, [Friedrich]",1034462636,Blick nach Wendelstein,,Farb. Orig.-Radierung,[Elbach b. Miesbach],[Vollandt],1947,503 x 355,248 x 196,,120.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
1950 T 20,"Dieter, Hans",118722514,Das Donautal. Blick auf Schloß Werenwag,[nebst Begleittext],Mehrfarb. Offsetdruck,Stuttgart,Schreiber,1950,895 x 675,885 x 595,,5.- DM (BRD),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive","ab 4 Exemplare 4,25 ; 1950 A 3402",
Kbl 1968 A 60,,,Wertheimer Burg,,Einfarb. Offsetdruck nach einem Kupferstich,[Magstadt],[Bissinger],1968,150 x 210,100 x 145,,3.- DM (BRD),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1968 A 82,,,"Wildenstein, Vestung [Festung]",,Einfarb. Offsetdruck nach einem Kupferstich,[Magstadt],[Bissinger],1968,260 x 255,180 x 180,,3.- DM (BRD),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1948 A 43,"[Chapuy, Nicolas Marie Joseph - Louis Pierre Alphonse Bichebois]",,Wildenstein,,Reproduktion nach einem Stahlstich,[Hadamar],Bensemann,1947,147 x 210,95 x 128,,1.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1981 A 93,,,Das Schloß zu Wörlitz 1979,,Offsetdruck nach einer Radierung von C. Kunz handkoloriert,Leipzig,Verlag für die Frau,1980,200 x 290,145 x 210,,19.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
Kbl 1949 A 28,"Gerner, Hans",,Schloß Zollern,,Strichätzung nach einer Linolschnitt,[Leipzig],[Bildkunst Die Wölfe],1947,170 x 230,110 x 150,,,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",wird nur gerahmt verkauft,
Kbl 1949 A 167,"Gerner, Hans",,Schloß Zollern,,Handkolorierte Strichätzung,[Leipzig],[Bildkunst Die Wölfe],1949,170 x 223,112 x 150,,60.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,
1925 T 16 - 4300,,,Barockresidenz,,Mehrfarb. Offsetdruck,Stuttgart,Der Neue Schulmann,1978,920 x 640,840 x 580,Kosmos-Wandbild Nr 4300,"12,50 DM (BRD)","Bauliche Motive, Schlösser und Burgen, Anonyme Motive",,
1925 T 16,,,Fürstenschloß im 18. Jahrhundert,"Aufn.: Graf von Schönborschne Gemäldesammlung, Pommersfelden",Mehrfarb. Offsetdruck,Stuttgart,Der Neue Schulmann,1958,640 x 920,575 x 810,"Der Neue Schulmann, Nr 4101",5.- DM (BRD),"Bauliche Motive, Schlösser und Burgen, Anonyme Motive",,
Kbl 1949 A 33,"Gerner, Hans",,Bergschloß,,Strichätzung nach einem Linolschnitt,[Leipzig],[Bildkunst Die Wölfe],1947,170 x 230,120 x 150,,,"Bauliche Motive, Schlösser und Burgen, Anonyme Motive",wird nur gerahmt verkauft,
Kbl 1949 A 164,"Gerner, Hans",,Bergschloß,,Handkolorierte Strichätzung,[Leipzig],[Bildkunst Die Wölfe],1949,170 x 232,120 x 150,,60.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, Anonyme Motive",,
Kbl 1943 A 47,"Herzing, M[inni]",,Altes Schloß,,Orig.-Radierung,[Berlin],[Daco-Verlag],1943,255 x 340,135 x 195,,12.- RM,"Bauliche Motive, Schlösser und Burgen, Anonyme Motive",,
1925 T 16,"Koser, M[artin] und R[uth] Koser-Michaels",,Mittelalterliche Burg,,Mehrfarb. Offsetdruck,Stuttgart,Der Neue Schulmann,1954,640 x 920,565 x 840,"Der Neue Schulmann, Nr 4056",je (4 Bilder mit Textheft) 16.- DM (BRD) ; einzeln 5.- DM (BRD),"Bauliche Motive, Schlösser und Burgen, Anonyme Motive",,
Kbl 1957 B 22,"Brauer, Johannes",1057113778,"Rothenburg ob der Tauber, Röderbogen",,Orig.-Holzschnitt,Leipzig,Scholle-Verlag,1956,400 x 280,197 x 145,,7.- DM (DDR),"Anonyme Motive, Tore",,
Kbl 1960 B 46,"Kaumann, Hans",,Plönlein,,Orig.-Radierung,[Hamburg],[Commeter],1958,380 x 530,265 x 315,,20.- DM (BRD),"Anonyme Motive, Tore",,
Kbl 1960 B 47,"Kaumann, Hans",,Röderbogen [Rothenburg ob der Tauber],,Orig.-Radierung,[Hamburg],[Commeter],1958,530 x 375,290 x 265,,20.- DM (BRD),"Anonyme Motive, Tore",,
Kbl 1949 A 31,"Gerner, Hans",,Torturm,,Strichätzung nach einem Linolschnitt,[Leipzig],[Bildkunst Die Wölfe],1947,170 x 230,120 x 150,,,"Anonyme Motive, Tore",wird nur gerahmt verkauft,
Kbl 1949 A 165,"Gerner, Hans",,Torturm,,Handkolorierte Strichätzung,[Leipzig],[Bildkunst Die Wölfe],1949,170 x 232,120 x 150,,60.- DM (DDR),"Anonyme Motive, Tore",,
Kbl 1949 A 30,"Gerner, Hans",,Haus mit Wegtor,,Strichätzung nach einem Linolschnitt,[Leipzig],[Bildkunst Die Wölfe],1947,170 x 230,120  x 150,,,"Anonyme Motive, Tore",wird nur gerahmt verkauft,
Kbl 1948 A 19,"Herzing, M[inni]",,Altes Tor,,Radierung,Berlin,Daco-Verlag,1947,62 x 90,,,6.- RM,"Anonyme Motive, Tore",,
Kbl 1959 A 107 ; Kbl 1959 A 108,"Hintze, [Heinrich]",,Das Potsdamer Thor,Gest. v. Barber,Handkupferdruck [nach einer Zeichnung von 1830],Berlin-Friedrichshagen,Wende,1959,300 x 400,155 x 210,,"13,50 DM ; handkoloriert 18-. DM","Anonyme Motive, Tore",,
Kbl 1961 A 161,"Millet, François",,Alter Turm in Barbison,,Mehrfarb. Autotypie,Leipzig,Seemann,1961,220 x 300,185 x 240,,"1,50 DM (DDR)","Anonyme Motive, Tore",2. Auflage,
Kbl 1947 B 127,"Mooser, Gertrud",,Alter Durchlass,,Farb. Holzschnitt,"[Siegdorf, Obb.]",[Phönix-Verlag],1946,211 x 298,,,10.- RM,"Anonyme Motive, Tore",,
Kbl 1952 B 51,"Reinhold, Bruno",,Altes Tor,,Orig.-Radierung,Berlin,Lindner,1952,500 x 350,330 x 230,,18.- DM,"Anonyme Motive, Tore",,
Kbl 1970 A 41,"Tacke, Eb[erhard]",142824623,"Brandenburger Tor, Berlin",,Orig.-Radierung,[Berlin],[Tacke],1968,144 x 205,85 x 130,,"7,50 DM","Anonyme Motive, Tore",,
Kbl 1972 A 50,"Tacke, Eb[erhard]",142824623,"Brandenburger Tor, 1795",,Orig.-Radierung,[Berlin],[Tacke],1972,145 x 205,80 x 130,,5.- DM,"Anonyme Motive, Tore",,
Kbl 1980 A 51,,,Das Grimmsche Thor zu Leipzig,,Einfarb. Strichätzung nach einem Kupferstich,[Gotha],[Haack],1980,125 x 170,95 x 140,,2.- DM (BRD),"Anonyme Motive, Tore",,
Kbl 1957 A 230,"Wächtler, Leopold",1050532031,"Rothenburg o. T., am Faulturm",,Orig.-Holzschnitt,[Leipzig],[Möhring],1949,325 x 245,203 x 120,,8.- DM (DDR),"Anonyme Motive, Tore",,
Kbl 1957 A 227,"Wächtler, Leopold",1050532031,"Rothenburg o. T., Wehrgang",,Orig.-Holzschnitt,[Leipzig],[Möhring],1949,245 x 325,157 x 210,,8.- DM (DDR),"Anonyme Motive, Tore",,
Kbl 1967 C 90,"Wefers, Dietmar",,Portal der Folkwangschulen,,Mehrfarb. Autotypie,[Essen],Gesellschaft der Freunde und Förderer der Folkwangschulen,1967,695 x 485,595 x 395,Jahrsgabe der Gesellschaft der Freunde und Förderer der Folkwangschulen e. V. 1967,,"Anonyme Motive, Tore",,
Kbl 1980 A 59,,,Rimkertor in Wenigerode 1829,,Offsetdruck nach einer Zeichnung von G. H. Crola gestaltet und handkoloriert,Leipzig,Verlag für die Frau,1979,200 x 290,125 x 190,,Preis nicht mitgeteilt,"Anonyme Motive, Tore",,
Kbl 1980 A 57,,,Westerntor in Wernigerode 1844,,Offsetdruck nach einem Stahlstich von G. Serz gestaltet und handkoloriert,Leipzig,Verlag für die Frau,1979,200 x 290,125 x 190,,Preis nicht mitgeteilt,"Anonyme Motive, Tore",,
Kbl 1961 B 15,"Brauer, Johannes",1057113778,Burgwinkel,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1961,500 x 375,180 x 130,,30.- DM (DDR),"Anonyme Motive, Winkel",,
Kbl 1968 A 2,"Brauer, Johannes",1057113778,Alter Winkel,,Orig.-Farbholzschnitt von 3 Platten,Leipzig,Scholle-Verlag,1968,325 x 220,175 x 130,,"12,50 DM (DDR)","Anonyme Motive, Winkel",,
Kbl 1948 B 3,"Anton, Werner",,[Malerischer Gassenwinkel],,Mehrfarben-Offsetdruck,Hamburg,Thiele,1947,361 x 481,341 x 461,,16.- RM,"Anonyme Motive, Winkel",,
Kbl 1969 B 2,"Brauer, Johannes",1057113778,Aus altem Ort,,Orig.-Holzschnitt,Leipzig,Scholle-Verlag,1968,430 x 300,200 x 150,,12.- DM (DDR),"Anonyme Motive, Winkel",,
Kbl 1951 B 125,"Hasler, Sigmund",,Versteckter Winkel,,Mehrfarb. Autotypie,München,Bruckmann,1947,480 x 380,415 x 290,,5.- RM,"Anonyme Motive, Winkel",,
Kbl 1948 B 167,"Koch, Rudolf",,[Nächtliche Gasse],,Orig.-Holzschnitt,Braunschweig,Dreimann-Kunstverlag,1946,264 x 368,190 x 243,,18.- RM,"Anonyme Motive, Winkel",,
Kbl 1952 B 53,"Reinhold, Bruno",,Alter Winkel,,Orig.-Radierung,Berlin,Lindner,1952,500 x 350,260 x 210,,18.- DM,"Anonyme Motive, Winkel",,
Kbl 1957 A 228,"Wächtler, Leopold",1050532031,"Rothenburg o. T., Kummereck",,Orig.-Holzschnitt,[Leipzig],[Möhring],1949,325 x 245,188 x 130,,8.- DM (DDR),"Anonyme Motive, Winkel",,
Kbl 1953 A 287,"Achenbach, Andreas",,Der Leuchtturm bei Ostende,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,220 x 270,183 x 250,,"1,50 DM (DDR)","Anonyme Motive, Verschiedene",,
Kbl 1953 C 79,"Achenbach, Andreas",,Der Leuchtturm bei Ostende,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,445 x 555,350 x 480,,"7,50 DM (DDR)","Anonyme Motive, Verschiedene",,
Kbl 1959 B 33,"Brauer, Johannes",1057113778,"Alt-Leipzig, Hof in der Ritterstraße",,Orig.-Radierung,Leipzig,Scholle-Verlag,1959,410 x 290,217 x 166,,"18,50 DM (DDR)","Anonyme Motive, Verschiedene",,
Kbl 1979 A 51,"Brauer, Johannes",1057113778,"Ehemaliges Reichsgericht, jetziges Dimitroff-Museum",,Orig.-Radierung,Leipzig,Scholle-Verlag,1979,240 x 365,130 x 190,,52.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1951 C 55,"Burghardt, Paul",1076142141,[Autobahn],,Orig.-Lithographie,[Erfurt],[Grafik-Verlag],1951,655 x 500,420 x 330,,10.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1973 C 152,"Diez, Wilhelm",,Vor der Schenke,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,435 x 490,260 x 340,"Piperdruck, Nr 159",30.- DM (BRD),"Anonyme Motive, Verschiedene",,
Kbl 1951 B 77,"[Görlach, Erwin]",118695827,[Karussell],,Orig.-Lithographie,[Erfurt],[Grafik-Verlag],1951,400 x 350,,,10.- DM (DDR); koloriert 15.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1950 C 39,"Görlach, Erwin",118695827,[MAS-Werkstatt],,Orig.-Lithographie,[Weimar],[Grafik-Verlag],1950,600 x 450,,,4.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1965 A 15,"Gogh, Vincent van",118540416,"Restaurant ""Siréne""",,Mehrfarb. Autotypie,Leipzig,Seemann,1965,215 x 300,180 x 230,,"1,50 DM (DDR)","Anonyme Motive, Verschiedene",,
Kbl 1964 A 50,"Gruner, Erich",119252686,Der Altmarkt in Leipzig im Jahre 1964,,Orig.-Radierung,"[Leipzig N 22, Hoeppner-Str. 20]",Gruner,1964,216 x 302,126 x 202,,25.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1961 B 23,"Gruner, Erich",119252686,Laubengang zur Villa Feodora in Bad Liebenstein,,Orig.-Lithographie,"[Leipzig N 22, Hoeppner-Str. 20]",Gruner,1961,320 x 410,240 x 330,,"sign., 25.- DM (DDR)","Anonyme Motive, Verschiedene",,
Kbl 1944 B 67,"Hartmann, K. W. Heinrich",,Scheunen,,Farbenlichtdruck nach einem Aquarell,1935,"Wolfenbüttel, Berlin",1942,735 x 460,620 x 340,,30.- RM,"Anonyme Motive, Verschiedene",,
Kbl 1959 C 1,"Herrmann, Heinrich",,"Hof in Alt-Berlin, Fischerstraße",,Orig.-Radierung,Berlin,Lindner,1958,730 x 535,480 x 350,,18.- DM,"Anonyme Motive, Verschiedene",,
Kbl 1952 C 2,"Keller, Erich",,Talsperrenbau,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1951,780 x 101,650 x 900,"Gradus-Blätter, Nr 3001",20.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1959 A 166,"Knebel, Konrad",118723715,Berliner Vorortstraße,,Mehrfarb. Autotypie,Leipzig,Seemann,1959,300 x 215,240 x 178,,"1,50 DM (DDR)","Anonyme Motive, Verschiedene",,
Kbl 1962 A 17,"Monet, Claude",11858345X,Bahnhof St. Lazare,,Mehrfarb. Autotypie,Leipzig,Seemann,1962,217 x 300,180 x 241,,"1,50 DM (DDR)","Anonyme Motive, Verschiedene",,
Kbl 1972 C 154,"Pötzschig, Gert",135810418,Blick über Dächer,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1972,445 x 560,360 x 495,,10.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 19559 B 11,"Pohl, Werner",,Alt-Berlin: Hof in der Fischerstraße,,Orig.-Radierung,Berlin,Lindner,1958,415 x 295,245 x 185,,"6,75 DM ","Anonyme Motive, Verschiedene",,
Kbl 1953 A 95,"Schultze-Jasmer, Th[eodor]",119297183,[Alter Hof],,Orig.-Radierung,[Prerow/Darß],Th. Schultze-Jasmer,1952,210 x 300,115 x 200,Nr 111,10.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1964 C 28,"Sisley, Alfred",118614762,"Landstraße, vom Weg nach Sévres gesehen",,Mehrfarb. Offsetdruck,Leipzig,Seemann,1964,465 x 565,375 x 505,,10.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1965 C 9,"Stengel, Gerhard",118617680,"Leipzig, Karl-Marx-Platz mit Opernhaus",,Mehrfarb. Offsetdruck,Leipzig,Seemann,1964,440 x 580,350 x 500,,10.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1957 A 229,"Wächtler, Leopold",1050532031,"Rothenburg o. T., Alte Gasse",,Orig.-Holzschnitt,[Leipzig],[Möhring],1949,325 x 245,195 x 140,,8.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1957 A 232,"Wächtler, Leopold",1050523031,"Rothenburg o. T., Gäßchen am Rödertor",,Orig.-Holzschnitt,[Leipzig],[Möhring],1949,325 x 245,175 x 120,,8.- DM (DDR),"Anonyme Motive, Verschiedene",,
Kbl 1949 B 268,"Zimmermann, Bodo",123002125,Bunker in Karelien,,Holzschnitt,[Kassel],[Bärenreiter-Verlag],1949,395 x 345,,"Bärenreiter-Einblattdruck, M 361",8.- DM (BRD),"Anonyme Motive, Verschiedene",,
Kbl 1952 A 58,,,[Das neue Aktwerk],,Tiefdruck,[München],[Magazin-Verlag],1949,300 x 240,250 x 185,,"17,50 DM (BRD)",Anonyme Motive: Akte,in Mappe; 24 Tafeln,
Kbl 1982 C 25,"Albani, Francesco",119344483,Diana mit neun Nymphen und dem fliehenden Aktäon,,Mehrfarb. Lichtdruck,Leipzig,Seemann,1981,600 x 760,500 x 690,,26.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1963 A 17,"Baldung-Grien, Hans",118506188,Adam und Eva,,Mehrfarb. Autotypie,Leipzig,Seemann,1963,300 x 220,242 x 107,,"1,50 DM (DDR)",Anonyme Motive: Akte,biblische Geschichte,
Kbl 1963 C 100,"Bonnard, Pierre",,Akt am Fenster,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1963,580 x 315,500 x 255,,10.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 C 58,"Botticelli, Sandro",118514008,Die Geburt der Venus,,Mehrfarb. Autotypie,Leipzig,Seemann,1970,430 x 630,340 X 550,,"7,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1960 C 212,"Boucher, François",,Bad der Diana,,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],1960,620 x 750,500 x 650,"Dresdner Meisterdruck, M 1164",26.- DM (DDR),Anonyme Motive: Akte,Sage,
Kbl 1958 A 256,"Boucher, François",,Diana nach dem Bade,,Mehrfarb. Autotypie,Leipzig,Seemann,1958,225 x 270,180 x 240,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1956 A 43,"Boucher, François",,Ruhendes Mäddhen,Neudruck,Mehrfarb. Autotypie,Leipzig,Seemann,1956,225 x 255,190 x 235,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1960 A 192,"Brauer, Johannes",1057113778,Männl[icher] Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,290 x 210,110 x 90,,"8,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1961 C 1,"Brauer, Johannes",1057113778,Männl[icher] Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,600 x 420,370 x 300,,30.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1962 B 8,"Brauer, Johannes",1057113778,Männlicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1962,420 x 300,265 x 145,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1961 B 1,"Brauer, Johannes",1057113778,Weibl[icher] Akt,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1960,420 x 300,240 x 175,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1976 B 3,"Brauer, Johannes",1057113778,Weiblicher Akt,,Orig.-Farbradierung,Leipzig,Scholle-Verlag,1960,415 x 295,240 x 175,,42.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1961 B 56,"Brauer, Johannes",1057113778,Weibl[icher] Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1961,420 x 300,184 x 130,,"8,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1961 B 55,"Brauer, Johannes",1057113778,Weibl[icher] Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1961,420 x 300,184 x 130,,"8,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1962 A 50,"Brauer, Johannes",1057113778,Weiblicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1962,325 x 220,120 x 80,,12.- DM (DDR),Anonyme Motive: Akte,,
