signatur,urheber,idn,titel,zusatz,bem2,ort,verlag,entstehung,blatt,bild,reihe,preis,schlagwort,bemerkung,technik,motiv,idn_technik,mappe,grafiker,hrsg,hrsg2
Kbl 1953 A 340,,,Wilhelm Pieck,,Tiefdruck [nach einer Photopraphie],Berlin,Dietz Verlag,1953,320 x 230,235 x 175,,,Benannte Bildnisse ; P,nicht im Handel erschien. ; auf Pappe aufgez. ; wird für Werbezwecke kostenlos abgegeben,Tiefdruck,,04060053X,,,,
Kbl 1953 A 341,,,Rosa Luxemburg,,Tiefdruck [nach einer Photopraphie],Berlin,Dietz Verlag,1953,320 x 230,235 x 175,,,Benannte Bildnisse ; L,nicht im Handel erschien. ; auf Pappe aufgez. ; wird für Werbezwecke kostenlos abgegeben,Tiefdruck,,04060053X,,,,
Kbl 1953 A 342,,,Otto Grotewohl,,Tiefdruck [nach einer Photopraphie],Berlin,Dietz Verlag,1953,320 x 230,235 x 175,,,Benannte Bildnisse ; G,nicht im Handel erschienen ; auf Pappe gezeichnet ; wird für Werbezwecke kostenlos abgegeben,Tiefdruck,,04060053X,,,,
Kbl 1953 A 343,,,Louis Fürnberg,,Tiefdruck [nach einer Photopraphie],Berlin,Dietz Verlag,1953,320 x 230,235 x 175,,,Benannte Bildnisse ; F,nicht im Handel erschienen ; auf Pappe gezeichnet ; wird für Werbezwecke kostenlos abgegeben,Tiefdruck,,04060053X,,,,
Kbl 1953 A 344,,,F.C. Weiskopf,,Tiefdruck [nach e. Photographie],Berlin,Dietz Verl.,1953,320 x 230,235 x 175,,,"Bildnisse, benannt (Fort.)","Auf Pappe aufgez. Nicht im Handel ersch., Wird für Werbezwecke kostenlos abgegeben",Tiefdruck,,04060053X,,,,
Kbl 1953 A 345,,,Antonin Zàpotocký,,Tiefdruck [nach e. Photographie],Berlin,Dietz Verl.,1953,320 x 230,235 x 175,,,"Bildnisse, benannt (Fort.)","Auf Pappe aufgez. Nicht im Handel ersch., Wird für Werbezwecke kostenlos abgegeben",Tiefdruck,,04060053X,,,,
Kbl 1953 A 346,,,Jürgen Kuczynski,,Tiefdruck [nach einer Photopraphie],Berlin,Dietz Verlag,1953,320 x 230,235 x 175,,,Benannte Bildnisse ; K,nicht im Handel erschien. ; auf Pappe aufgez. ; wird für Werbezwecke kostenlos abgegeben,Tiefdruck,,04060053X,,,,
Kbl 1953 A 347,,,Howard Fast,,Tiefdruck [nach einer Photopraphie],Berlin,Dietz Verlag,1953,320 x 230,235 x 175,,,Benannte Bildnisse ; F,nicht im Handel erschienen ; auf Pappe gezeichnet ; wird für Werbezwecke kostenlos abgegeben,Tiefdruck,,04060053X,,,,
Kbl 1953 A 348,,,Fred Oelßner,,Tiefdruck [nach einer Photopraphie],Berlin,Dietz Verlag,1953,320 x 230,235 x 175,,,Benannte Bildnisse ; O,nicht im Handel erschien. ; auf Pappe aufgez. ; wird für Werbezwecke kostenlos abgegeben,Tiefdruck,,04060053X,,,,
Kbl 1953 A 349,,,Martin Andersen Nexö,,Tiefdruck [nach einer Photopraphie],Berlin,Dietz Verlag,1953,320 x 230,235 x 175,,,Benannte Bildnisse ; A,auf Pappe aufgez. ; nicht im Handel erschienen ; wird für Werbezwecke kostenlos abgegeben,Tiefdruck,,04060053X,,,,
Kbl 1953 A 35,"Bade, [Bruno]",,E[rnst] Kamieth,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 350,,,Willi Bredel,,Tiefdruck [nach einer Photopraphie],Berlin,Dietz Verlag,1953,320 x 230,235 x 175,,,Benannte Bildnisse ; B,"wird für Werbezwecke kostenlos abgegeben ; auf Pappe aufgez., nicht im Handel ersch.",Tiefdruck,,04060053X,,,,
Kbl 1953 A 352,"Bade, [Bruno]",,N. I. Pirogow,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; P,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 353,"Bade, [Bruno]",,E. Weinert,,Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 355,"Bade, [Bruno]",,H. Ibsen,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; I/J,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 356,"Bade, [Bruno]",,B. Björnson,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; B,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 357,"Bade, [Bruno]",,K. Bartel,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; B,,Lichtdruck,,42736064,,,,
Kbl 1953 A 358,"Bade, [Bruno]",,J. Brahms,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; B,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 359,"Bade, [Bruno]",,E. Zaptopek,,Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 36,"Bade, [Bruno]",,G[erritt] Kastein,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 360,"Bade, [Bruno]",,G. Walter,,Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 361,"Bade, [Bruno]",,A. Tschudina,,Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 362,"Bade, [Bruno]",,E. Zaisser,,Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 363,Bade [Bruno],,A. Ackermann,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; A,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 364,"Bade, [Bruno]",,Gregor,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; G,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 365,"Dürer, Albrecht",11852786X,Johannes und Petrus,[Ausschnitt],Mehrfarb. Autotypie,München,Ackermann,1953,350 x 255,260 x 180,,"2,50 DM (BRD)",Apostel,,Autotypie,!943374413!,41437233,,,,
Kbl 1953 A 366,"Dürer, Albrecht",11852786X,Paulus und Markus,[Ausschnitt],Mehrfarb. Autotypie,München,Ackermann,1953,350 x 255,260 x 180,,"2,50 DM (BRD)",Apostel,,Autotypie,!943374413!,41437233,,,,
Kbl 1953 A 367,"Spitzweg, Carl",118616307,Kunst und Wissenschaft,[Der Antiquar],Mehrfarb. Autotypie,München,Ackermann,1953,345 x 215,290 x 170,,"2,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 368,"Feuerbach, Anselm",118532731,Mesea,,Mehrfarb. Autotypie,München,Ackermann,1953,215 x 350,150 x 300,,"2,50 DM (BRD)",Benannte Bildnisse ; M,,Autotypie,,41437233,,,,
Kbl 1953 A 369,"Murillo, B[artolomé] E[steban]",11858586X,Pastetenesser,,Mehrfarb. Autotypie,München,Ackermann,1953,335 x 265,280 x 230,,"2,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 37,"Bade, [Bruno]",,B[runo] Kießler,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 370,"Murillo, B[artolomé] E[steban]",11858586X,Trauben- und Melonenesser,,Mehrfarb. Autotypie,München,Ackermann,1953,330 x 230,280 x 200,,"2,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 371,"Dyck, [Anton] van",118528386,Cellospielerin,,Mehrfarb. Autotypie,München,Ackermann,1953,345 x 260,275 x 230,,"2,50 DM (BRD)",Musiziernde,,Autotypie,!042336759!,41437233,,,,
Kbl 1953 A 372,Leonardo da Vinci,118640445,Mona Lisa,,Mehrfarb. Autotypie,München,Ackermann,1953,330 x 230,280 x 190,,"2,50 DM (BRD)",Benannte Bildnisse ; M,,Autotypie,,41437233,,,,
Kbl 1953 A 373,"Dürer, Al[brecht]",11852786X,Eichhörnchen,,Mehrfarb. Autotypie,München,Ackermann,1953,295 x 235,250 x 210,,"2,50","Tierbilder, Eichhörnchen",Nr 8308 F.,Autotypie,!979881528!,41437233,,,,
Kbl 1953 A 374,"Spitzweg, Carl",118616307,Der Hochzeiter,,Mehrfarb. Autotypie,München,Ackermann,1953,325 x 195,290 x 170,,"2,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 375,"Spitzweg, Carl",118616307,Der Bücherwurm,,Mehrfarb. Autotypie,München,Ackermann,1953,330 x 180,290 x 155,,"2,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 376,"Dürer, A[lbrecht]",11852786X,Der Hase,,Mehrfarb. Autotypie,München,Ackermann,1953,310 x 245,250 x 210,,"2,50","Tierbilder, Hase",Nr 8307 F,Autotypie,!949331783!,41437233,,,,
Kbl 1953 A 378,"Dürer, Albrecht",11852786X,Die Akelei,,Mehrfarb. Autotypie,München,Ackermann,1953,330 x 250,280 x 225,,"2,50","Blumenbilder, Akelei",,Autotypie,!042090229!,41437233,,,,
Kbl 1953 A 379,"Millet, J[ean] F[rançois]",118582550,Abendläuten,,Mehrfarb. Autotypie,München,Ackermann,1953,265 x 310,230 x 280,,"2,50","Tageszeiten, Abend","Nr 2857 F.Bildgröße 150 x 190 1,50",Autotypie,!946021406!,41437233,,,,
Kbl 1953 A 38,"Bade, [Bruno]",,R[udi[ Kirchner,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 380,"Rubens, P[eter] P[aul] u. J[an] Brueghel [Bruegel] d. Ä.",11860354X,Madonna,,Mehrfarb. Autotypie,München,Ackermann,1953,260 x 285,230 x 265,,"2,50 DM (BRD)",Marienbilder,,Autotypie,,41437233,,,,
Kbl 1953 A 383,"Dürer, Albrecht",11852786X,Betende Hände,,Mehrfarb. Autotypie,München,Ackermann,1953,320 x 210,280 x 185,,"2,50 DM (BRD)",Verschiedene Motive,,Autotypie,,41437233,,,,
Kbl 1953 A 384,"Dürer, Albrecht",11852786X,Hände mit Bibel,,Mehrfarb. Autotypie,München,Ackermann,1953,320 x 210,280 x 190,,"2,50 DM (BRD)",Verschiedene Motive,,Autotypie,,41437233,,,,
Kbl 1953 A 385,"Dürer, A[lbrecht]",11852786X,Das Große Rasenstück,,Mehrfarb. Autotypie,München,Ackermann,1953,330 x 235,280 x 215,,"2,50","Blumenbilder, Primeln",Nr 8305 F,Autotypie,!97801233X!,41437233,,,,
Kbl 1953 A 386,"Schwind, M[oritz] von",118612271,Die Hochzeitsreise,,Mehrfarb. Autotypie,München,Ackermann,1953,325 x 250,280 x 220,,"2,50",Bürgerl. Genre,Nr 2751 F,Autotypie,,41437233,,,,
Kbl 1953 A 387,"Terboch [Ter Boch], Gerard",,Das Konzert,,Mehrfarb. Autotypie,München,Ackermann,1953,330 x 255,280 x 225,,"2,50 DM (BRD)",Musiziernde,,Autotypie,!042336759!,41437233,,,,
Kbl 1953 A 388,"Dürer, A[lbrecht]",11852786X,Johannes und Petrus,Paulus und Markus,Mehrfarb. Autotypie,München,Ackermann,1953,325 x 235,je 260 x 90,,"2,50 DM (BRD)",Apostel,,Autotypie,!943374413!,41437233,,,,
Kbl 1953 A 39,"[Bade, Bruno]",,G[eorg] Kolbe,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 390,"Spitzweg, Carl",118616307,Serenissimus auf Reisen,,Mehrfarb. Autotypie,München,Ackermann,1953,335 x 250,280 x 215,,"2,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 391,"Spitzweg, Carl",118616307,Der arme Poet,,Mehrfarb. Autotypie,München,Ackermann,1953,255 x 340,225 x 270,,"2,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 392,"Spitzweg, Carl",118616307,Der Hypochonder,,Mehrfarb. Autotypie,München,Ackermann,1953,340 x 235,290 x 170,,"2,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 393,"Dürer, Albrecht",11852786X,Der Hirschkäfer,,Mehrfarb. Autotypie,München,Ackermann,1953,250 x 215,145 x 115,,"1,50","Tierbilder, Käfer",Nr 9139 Q,Autotypie,!041302656!,41437233,,,,
Kbl 1953 A 394,Dürer Albrecht,11852786X,Das Heilandskind,,Mehrfarb. Autotypie,München,Ackermann,[1953],220x215,125x100,Nr 9138 Q,1.5,Christus-Bilder,,Autotypie,,41437233,,,,
Kbl 1953 A 395,"Spitzweg, Carl",118616307,Im Dachstübchen,,Mehrfarb. Autotypie,München,Ackermann,1953,255 x 185,200 x 150,,"1,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 396,"Spitzweg, Carl",118616307,Der Kaktusfreund,,Mehrfarb. Autotypie,München,Ackermann,1953,250 x 170,210 x 125,,"1,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 397,"Spitzweg, Carl",118616307,Der Alchimist,,Mehrfarb. Autotypie,München,Ackermann,1953,215 x 250,160 x 180,,"1,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 398,"Muenier, [Jules Alexis]",,Die erste Klavierstunde,,Mehrfarb. Autotypie,München,Ackermann,1953,265 x 200,200 x 150,,"1,50 DM (BRD)",Musiziernde,,Autotypie,!042336759!,41437233,,,,
Kbl 1953 A 399,"Millet, François",118582550,Aehrenleserinnen,,Mehrfarb. Autotypie,München,Ackermann,1953,205 x 250,150 x 200,,"1,50 DM (BRD)","Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Autotypie,!041207785!,41437233,,,,
Kbl 1953 A 4,"Bade, [Bruno]",,H[erbert] Baum,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie,1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; B,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 40,"[Bade, Bruno]",,N[ikolaus] Kopernikus,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 400,"Janssens, [Abraham]",122723856,Holländerstube,,Mehrfarb. Autotypie,München,Ackermann,1953,290 x 220,185 x 150,,"1,50 DM (BRD)",Interieurs,Bildgröße 280 x 220,Autotypie,!118717517X!,41437233,,,,
Kbl 1953 A 401,"Schwind, Moritz von",118612271,Morgenstunde,,Mehrfarb. Autotypie,München,Ackermann,1953,220 x 250,150 x 185,,"1,50 DM (BRD)",Interieurs,"Bildgröße 30 x 37 cm, Nr 9705 5.-; 23 x 28 cm, Nr 2750, 2,50",Autotypie,!118717517X!,41437233,,,,
Kbl 1953 A 402,"Schwind, M[oritz] von",118612271,Die Hochzeitsreise,,Mehrfarb. Autotypie,München,Ackermann,1953,260 x 200,190 x 150,,"1,50",Bürgerl. Genre,Nr 9112 Q,Autotypie,,41437233,,,,
Kbl 1953 A 403,"Spitzweg, Carl",118616307,Der Kaktus,,Mehrfarb. Autotypie,München,Ackermann,1953,265 x 170,210 x 110,,"1,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 404,"Spitzweg, Carl",118616307,Der Schreiber,,Mehrfarb. Autotypie,München,Ackermann,1953,265 x 170,210 x 125,,"1,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 405,"Spitzweg, Carl",118616307,Der Bücherwurm,,Mehrfarb. Autotypie,München,Ackermann,1953,265 x 170,210 x 115,,"1,50 DM (BRD)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1953 A 406,Leonardo da Vinci,118640445,Das Abendmahl,[Mailand],Mehrfarb. Autotypie,München,Ackermann,1953,160 x 265,105 x 220,,"1,50 DM (BRD)",Abendmahl,"Bildgröße 42 x 85 cm. Mehrfarb. Lichtdruck. Nr 9002. 30.; 29 x 60 cm. Nr 9952. 20.-; 21 x 44 cm. Nr 9702. 5.-; 16 x 33 cm. Nr 2794. 2,50",Autotypie,!042671663!,41437233,,,,
Kbl 1953 A 407,"Dürer, Al[brecht]",11852786X,Eichhörnchen,,Mehrfarb. Autotypie,München,Ackermann,1953,265 x 200,180 x 150,,"1,50","Tierbilder, Eichhörnchen",Nr 9142 Q,Autotypie,!979881528!,41437233,,,,
Kbl 1953 A 408,"Dürer, A[lbrecht]",11852786X,Veilchen,,Mehrfarb. Autotypie,München,Ackermann,1953,240 x 200,120 x 105,,"1,50","Blumenbilder, Veilchen",Nr 9131 Q,Autotypie,!951366599!,41437233,,,,
Kbl 1953 A 409,Raffaello Santi [Raffael],118597787,Madonna Sixtina,,Mehrfarb. Autotypie,München,Ackermann,1953,260 x 200,200 x 145,,"1,50 DM (BRD)",Marienbilder,"Bildgr. 60 x 44 cm. Nr 955. 20.-; 40 x 29 cm. Nr 9704 5.-; 29 x 21 cm. Nr 2868. 2,50",Autotypie,,41437233,,,,
Kbl 1953 A 41,"Bade, [Bruno]",,S. Kosmodemjanskaja,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 410,Raffaello Santi [Raffael],118597787,Madonna della Sedia,,Mehrfarb. Autotypie,München,Ackermann,1953,230 x 215,155 x 155,,"1,50 DM (BRD)",Marienbilder,"Bildgr. 63 x 63 cm. Mehrfarb. Lichtdruck. Nr 9003. 30.-; 50 x 50 cm. Nr 9953. 20.-; 31 x 31 cm. Nr 9703. 5.-; 25 x 24 cm. Nr 2870, 2,50",Autotypie,,41437233,,,,
Kbl 1953 A 411,Raffaello Santi [Raffael],118597787,Madonna Sixtina,[Detail],Mehrfarb. Autotypie,München,Ackermann,1953,260 x 200,200 x 150,,"1,50 DM (BRD)",Marienbilder,"Bildgr. 54 x 40 cm. Nr 9954. 20.-; 29 x 21 cm. Nr 2869. 2,50",Autotypie,,41437233,,,,
Kbl 1953 A 412,"Spitzweg, C[arl]",118616307,Der Klappenstandr.,,Mehrfarb. Autotypie,München,Ackermann,1953,320 x 180,290 x 90,,"2,50",Bürgerl. Genre,Nr 2889 F,Autotypie,,41437233,,,,
Kbl 1953 A 413,"Dürer, A[lbrecht]",11852786X,Der Hase,,Mehrfarb. Autotypie,München,Ackermann,1953,260 x 200,180 x 150,,"1,50","Tierbilder, Hase",Nr 9140 Q,Autotypie,!949331783!,41437233,,,,
Kbl 1953 A 414,"Richter, Ludwig",118600486,Kinderlust,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,190 x 265,155 x 245,,"1,50 DM (DDR)",Kinderbilder,,Autotypie,!041141709!,41437233,,,,
Kbl 1953 A 415,"Richter, Ludwig",118600486,Überfahrt am Schreckenstein,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,245 x 295,205 x 270,,"1,50","Gebirgs- u. Hügellandschaft, Bezeichnete Motive",Nr 8139,Autotypie,!041561457!,41437233,,,,
Kbl 1953 A 416,"Richter, Ludwig",118600486,Der Schreckenstein bei Aussig,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,220 x 265,185 x 240,,"1,50","Gebirgs- u. Hügellandschaft, Bezeichnete Motive",Nr 8138,Autotypie,!041561457!,41437233,,,,
Kbl 1953 A 417,"Thoma, Hans",118622064,Nähendes Mädchen,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,275 x 210,235 x 190,,,Mädchenbilder,,Autotypie,!042497426!,41437233,,,,
Kbl 1953 A 418,"Thoma, Hans",118622064,Bauernhaus in Bernau,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,220 x 265,180 x 240,,"1,50 DM (DDR)","Bauliche Motive, Häuser, Hütten",,Autotypie,!963557173!,41437233,,,,
Kbl 1953 A 419,"Thoma, Hans",118622064,Der Hüter des Tales,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,270 x 215,235 x 190,,"1,50 DM (DDR)",Ideenmalerei,,Autotypie,,41437233,,,,
Kbl 1953 A 42,"Bade, [Bruno]",,Dr. J[ohannes] Kreiselmeyer,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 420,"Thoma, Hans",118622064,Hans Thomas`s Mutter und Schwester,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,210 x 280,175 x 250,,"1,50","Bildnisse, benannt (Fort.)",Nr. 3724,Autotypie,,41437233,,,,
Kbl 1953 A 421,"Menzel, Adolph von",118580914,Bauplatz mit Weiden,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,215 x 260,180 x 235,,"1,50 DM (DDR)",Bäume und Sträucher; Weide,,Autotypie,!960894225!,41437233,,,,
Kbl 1953 A 423,"Schwind, Moritz von",118612271,Morgenstunde,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,220 x 240,180 x 220,,"1,50 DM (DDR)",Interieurs,,Autotypie,!118717517X!,41437233,,,,
